Country,Area,Age,Survey Availability ,Year,Time use,Women
Tunisia, ,Age:15+,2005 and later,2005-06,"Unpaid domestic, care and volunteer work",5.366666667
Australia, ,Age:15+,2005 and later,2006,"Unpaid domestic, care and volunteer work",5.216666667
United Republic of Tanzania, ,Age:15+,2005 and later,2006,"Unpaid domestic, care and volunteer work",4.233333333
Uruguay, ,Age:15+,2005 and later,2007,"Unpaid domestic, care and volunteer work",6.05
Chile, ,Age:15+,2005 and later,2007-08,"Unpaid domestic, care and volunteer work",3.9
Azerbaijan, ,Age:15+,2005 and later,2008,"Unpaid domestic, care and volunteer work",6.1
Honduras, ,Age:15+,2005 and later,2009,"Unpaid domestic, care and volunteer work",3.25
Mexico, ,Age:15+,2005 and later,2009,"Unpaid domestic, care and volunteer work",6.633333333
Guatemala, ,Age:15+,2005 and later,2011,"Unpaid domestic, care and volunteer work",6.583333333
Morocco, ,Age:15+,2005 and later,2011-12,"Unpaid domestic, care and volunteer work",5
Brazil, ,Age:15+,2005 and later,2012,"Unpaid domestic, care and volunteer work",3.2
Colombia, ,Age:15+,2005 and later,2012,"Unpaid domestic, care and volunteer work",4.35
Turkey, ,Age:15+,2005 and later,2014-15,"Unpaid domestic, care and volunteer work",5.516666667
Oman, ,Age:15+?,2005 and later,2007-08,"Unpaid domestic, care and volunteer work",4.566666667
Denmark, ,Age:16-74,1985 - 1994,1987,"Unpaid domestic, care and volunteer work",3.05
Denmark, ,Age:16-74,1995 - 2004,2001,"Unpaid domestic, care and volunteer work",3.5
Belgium, ,Age:19-65,Up to 1984,1966,"Unpaid domestic, care and volunteer work",5.5
Sweden, ,Age:20-64,1995 - 2004,2000-01,"Unpaid domestic, care and volunteer work",4.133333333
Sweden, ,Age:20-64,2005 and later,2010-11,"Unpaid domestic, care and volunteer work",3.833333333
Austria, ,Age:20-74,1985 - 1994,1992,"Unpaid domestic, care and volunteer work",5.266666667
Switzerland, ,Age:20-74,1995 - 2004,1997,"Unpaid domestic, care and volunteer work",4.85
Kazakhstan, ,Age:20-74,1995 - 2004,2000,"Unpaid domestic, care and volunteer work",6.65
Switzerland, ,Age:20-74,1995 - 2004,2000,"Unpaid domestic, care and volunteer work",4.683333333
Slovenia, ,Age:20-74,1995 - 2004,2000-01,"Unpaid domestic, care and volunteer work",5.033333333
Bulgaria, ,Age:20-74,1995 - 2004,2001-02,"Unpaid domestic, care and volunteer work",5.016666667
Spain, ,Age:20-74,1995 - 2004,2002-03,"Unpaid domestic, care and volunteer work",4.916666667
Poland, ,Age:20-74,1995 - 2004,2003-04,"Unpaid domestic, care and volunteer work",4.983333333
Switzerland, ,Age:20-74,1995 - 2004,2004,"Unpaid domestic, care and volunteer work",4.666666667
Switzerland, ,Age:20-74,2005 and later,2007,"Unpaid domestic, care and volunteer work",4.65
Bulgaria, ,Age:20-74,2005 and later,2009-10,"Unpaid domestic, care and volunteer work",4.433333333
France, ,Age:20-74,2005 and later,2009-10,"Unpaid domestic, care and volunteer work",3.933333333
Switzerland, ,Age:20-74,2005 and later,2010,"Unpaid domestic, care and volunteer work",4.233333333
Switzerland, ,Age:20-74,2005 and later,2013,"Unpaid domestic, care and volunteer work",4.233333333
United Republic of Tanzania, ,Age:5+,2005 and later,2006,"Unpaid domestic, care and volunteer work",3.533333333
United Republic of Tanzania, ,Age:5+,2005 and later,2014,"Unpaid domestic, care and volunteer work",3.966666667
India, ,Age:6+,1995 - 2004,1998-99,"Unpaid domestic, care and volunteer work",4.35
Kyrgyzstan, ,Age:20-74,1995 - 2004,2000,"Unpaid domestic, care and volunteer work",6.65
Kazakhstan, ,Age:20-74,1995 - 2004,2003,"Unpaid domestic, care and volunteer work",6.833333333
Kyrgyzstan, ,Age:20-74,2005 and later,2005,"Unpaid domestic, care and volunteer work",5.7
Kazakhstan, ,Age:20-74,2005 and later,2006,"Unpaid domestic, care and volunteer work",6.266666667
Malaysia, ,Age:15-64,1995 - 2004,2003,"Unpaid domestic, care and volunteer work",4.583333333
Morocco, ,Age:15+,1997-98,1997-98,"Unpaid domestic, care and volunteer work",5.283333333
Finland, ,Age:10+,1995 - 2004,1999-00,"Unpaid domestic, care and volunteer work",3.6
The former Yugoslav Republic of Macedonia, ,Age:10+,2005 and later,2009,"Unpaid domestic, care and volunteer work",4.016666667
Finland, ,Age:10+,2005 and later,2009-10,"Unpaid domestic, care and volunteer work",3.416666667
Romania, ,Age:10+,2005 and later,2011-12,"Unpaid domestic, care and volunteer work",4.4
Kazakhstan, ,Age:10+,2005 and later,2012,"Unpaid domestic, care and volunteer work",4.166666667
Turkey, ,Age:15+,2005 and later,2006,"Unpaid domestic, care and volunteer work",6.183333333
France, ,Age:15+,2005 and later,2009-10,"Unpaid domestic, care and volunteer work",3.866666667
Réunion, ,Age:15+,2005 and later,2010,"Unpaid domestic, care and volunteer work",3.866666667
Finland, ,Age:20-74,1995 - 2004,1999-00,"Unpaid domestic, care and volunteer work",3.933333333
The former Yugoslav Republic of Macedonia, ,Age:20-74,1995 - 2004,2004,"Unpaid domestic, care and volunteer work",5.7
Turkey, ,Age:20-74,2005 and later,2006,"Unpaid domestic, care and volunteer work",5.283333333
Denmark, ,Age:20-74,2005 and later,2008-09,"Unpaid domestic, care and volunteer work",3.75
The former Yugoslav Republic of Macedonia, ,Age:20-74,2005 and later,2009,"Unpaid domestic, care and volunteer work",4.75
Finland, ,Age:20-74,2005 and later,2009-10,"Unpaid domestic, care and volunteer work",3.733333333
Hungary, ,Age:20-74,2005 and later,2009-10,"Unpaid domestic, care and volunteer work",4.75
Spain, ,Age:20-74,2005 and later,2009-10,"Unpaid domestic, care and volunteer work",4.55
Romania, ,Age:20-74,2005 and later,2011-12,"Unpaid domestic, care and volunteer work",4.9
Cuba,Bayamo,Age:15+,1995 - 2004,2001,"Unpaid domestic, care and volunteer work",4.65
Qatar,Citizens,Age:15+,2005 and later,2012-13,"Unpaid domestic, care and volunteer work",3.316666667
Cuba,Guisa,Age:15+,1995 - 2004,2001,"Unpaid domestic, care and volunteer work",5.25
Cuba,Habana Vieja,Age:15+,1995 - 2004,2001,"Unpaid domestic, care and volunteer work",3.916666667
Costa Rica,Metropolitan area,Age:12+,2005 and later,2011,"Unpaid domestic, care and volunteer work",5.566666667
Costa Rica,Metropolitan area,Age:15+,2005 and later,2011,"Unpaid domestic, care and volunteer work",4.516666667
Qatar,Non-citizens,Age:15+,2005 and later,2012-13,"Unpaid domestic, care and volunteer work",2.7
Cuba,Pina del Rio,Age:15+,1995 - 2004,2001,"Unpaid domestic, care and volunteer work",3.883333333
Mali,Rural,Age:15-49,2005 and later,2008,"Unpaid domestic, care and volunteer work",5.3
Benin,Rural,Age:6-65,1995 - 2004,1998,"Unpaid domestic, care and volunteer work",3.25
Madagascar,Rural,Age:6-65,1995 - 2004,2001,"Unpaid domestic, care and volunteer work",3.5
Cuba,San Juan y Martinez,Age:15+,1995 - 2004,2001,"Unpaid domestic, care and volunteer work",4.566666667
Mali,Urban,Age:15-49,2005 and later,2008,"Unpaid domestic, care and volunteer work",4.9
Panama,Urban,Age:15+,2005 and later,2011,"Unpaid domestic, care and volunteer work",4.6
Bolivia (Plurinational State of),Urban,Age:20-59,1995 - 2004,2001,"Unpaid domestic, care and volunteer work",5
Benin,Urban,Age:6-65,1995 - 2004,1998,"Unpaid domestic, care and volunteer work",3.25
Madagascar,Urban,Age:6-65,1995 - 2004,2001,"Unpaid domestic, care and volunteer work",3.75
